"","City","Months","AverageTemprature","AverageMaximumTemperature","AverageMinimumTemperature","AverageSunriseTime","AverageNumberofRainyDays","MonthlyTotalRainfallAverage"
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.2","ADANA","JANUARY",9.4,14.8,5.1,4.4,10.3,108.2
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.3","ADANA","FEBRUARY",10.4,16,5.9,5.2,10.1,91
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.4","ADANA","MARCH",13.3,19.4,8.2,6,9.5,65.4
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.5","ADANA","APRIL",17.3,23.6,11.8,7.1,8.5,51.2
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.6","ADANA","MAY",21.6,28.2,15.7,9.1,6.1,47.3
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.7","ADANA","JUNE",25.5,31.7,19.7,10.4,2.9,20.5
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.8","ADANA","JULY",28,33.8,22.8,10.5,0.9,6.3
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.9","ADANA","AUGUST",28.4,34.7,23.2,10.3,0.7,5.6
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.10","ADANA","SEPTEMBER",25.8,33.1,19.9,9,2.6,17.9
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.11","ADANA","OCTOBER",21.2,29,15.6,7.3,5.3,42
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.12","ADANA","NOVEMBER",15.5,22.6,10.6,6.6,6.7,71.1
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADANA.13","ADANA","DECEMBER",3,5,8,7,2,4
"https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?m=ADIYAMAN.2","ADIYAMAN","JANUARY",4.5,8.6,1.3,3.5,12.3,136.8
