"","City","AverageTemprature","AverageMaximumTemperature","AverageMinimumTemperature","AverageSunriseTime","AverageNumberofRainyDays","MonthlyTotalRainfallAverage","Lon","Lat"
"ADANA","ADANA",18.2833333333333,24.325,13.875,7.74166666666667,5.46666666666667,44.2083333333333,35.3308285,36.9914194
"ADIYAMAN","ADIYAMAN",17.4083333333333,22.25,12.15,7.99166666666667,6.56666666666667,48.3833333333333,38.2772592,37.76365
"AFYONKARAHISAR","AFYONKARAHISAR",11.4333333333333,17.4333333333333,5.20833333333333,6.89166666666667,8.15833333333333,33.2666666666667,30.5387038,38.7568852
"AGRI","AGRI",7.06666666666667,13.1083333333333,0.533333333333333,6.55833333333333,9.34166666666667,40.6916666666667,43.050591,39.719074
"AKSARAY","AKSARAY",12.2416666666667,18.6,6.29166666666667,7.71666666666667,6.58333333333333,25.7583333333333,34.0297,38.368626
"AMASYA","AMASYA",13.8916666666667,19.925,7.925,5.73333333333333,8.5,34.3666666666667,35.837347,40.656455
"ANKARA","ANKARA",12.05,17.875,6.36666666666667,6.825,7.8,29.1166666666667,32.8597419,39.9333635
"ANTALYA","ANTALYA",17.8083333333333,23.0666666666667,13.725,8.525,5.5,67.65,30.7133233,36.8968908
"ARDAHAN","ARDAHAN",4.825,11.05,-1.45,5.875,11.1416666666667,45.075,42.70228,41.11295
"ARTVIN","ARTVIN",12.45,17.1833333333333,8.425,4.925,10.6333333333333,51.6416666666667,41.820819,41.180937
"AYDIN","AYDIN",17.5916666666667,23.6083333333333,11.9916666666667,7.1,5.78333333333333,43.7333333333333,28.4863963,37.8117033
"BALIKESIR","BALIKESIR",14.6166666666667,19.65,9.28333333333333,6.86666666666667,7.03333333333333,41.3916666666667,27.8903423,39.6532976
"BARTIN","BARTIN",12.9333333333333,18.2833333333333,7.60833333333333,5.91666666666667,10.6583333333333,76.1,32.4609794,41.5810509
"BATMAN","BATMAN",16.5166666666667,23.575,9.05833333333333,7.61666666666667,6.075,35.7916666666667,41.1292832,37.8895167
"BAYBURT","BAYBURT",7.48333333333333,13.9,2.05833333333333,NA,9.425,34.9666666666667,40.228048,40.26032
